https://www.youtube.com/user/ozodivideo;62181;tajik, Tajikistan, tojik, Tojikiston, тоҷик, Тоҷикистон, Душанбе, таджик, таджики, Таджикистан;mk
https://www.youtube.com/user/forestnation;98;Trees, Tree Planting, Earth Day, Pledge to Plant, School Fundraising, Climate Change, Environment, Education;en
https://www.youtube.com/user/miguelangeljordansan;18842;amor, en, custodia, mexico, andres, palacios, paola, nuñez, margarita, gralia;es
https://www.youtube.com/user/tekhd;184794;patrick, norton, veronica, belmont, tip, trick, hdtv, mac, pc, smart, phone, windows, youtube, gmail, google, hack;en
https://www.youtube.com/user/sugarrae78;572;revival, rocksteady, roots;none
https://www.youtube.com/channel/UCd2dffII8QftLrz86j6sVdA;6;;none
https://www.youtube.com/channel/UCxJ7YRWxGshFw-wT1aVi_XQ;62837;cocina, vegan, vegano, sano, saludable;es
https://www.youtube.com/user/naturelifeful;36;Nature,ifrful;en
https://www.youtube.com/user/dtownshutemdown;1598;Dallas, Cowboys, Nfc, East, Trash, Talking, Circle, NFL;en
https://www.youtube.com/user/ieatkids1994;1758;;none
https://www.youtube.com/user/kaydoc3;56;;none
https://www.youtube.com/channel/UC9g3Q1joTUvdmqaGnlmUu2Q;9712;;none
https://www.youtube.com/user/m3kkyyy;52074;M3KKY;ar
https://www.youtube.com/user/midgetdance;4619;Midgetdance, midget, dance, Jake, Halo, Tricks, halo, tricks, machinima, Maple, story, maplestory, league, of, legends, commentary, steve, DayZ, Arma, II, League, Legends, Glychd;en
https://www.youtube.com/channel/UCPOYlgsPuY7GbE0Db3zb5_g;21822;Anthony Trucker, дальнобой, дальнобой по США, дорога, фура, дальнобойщик, водитель фуры, дальнобой по Америке, США, Америка, американская жизнь, работа в США, работа в Америке, работа на фуре, зарплата дальнобойщика, зарплата на фуре, работа на траке, работа дальнобойщика, грузовик, вольво, volvo, big rig, truck, semi truck, blogtrucking, driver, backing up a semi, trucking videos, life on the road, commercial driver, professional driver, CDL, highway, blog, bloger, Энтони Тракер, дрон;ru
https://www.youtube.com/user/prash54321;1555;;en
https://www.youtube.com/user/bogartmachuca;20;;none
https://www.youtube.com/user/schrodingersmexican;1548;Tortilla;en
https://www.youtube.com/user/surgawi;77840;;none
https://www.youtube.com/user/therisingtaide;4360;commentary, politics, talking head, logic, philosophy, reason, intelligence, armoured skeptic, atheist, skeptic, sjw, anti-sjw, antifeminist, feminism, sargon of akkad, chris ray run, vernaculis, drama, youtube drama, controversy, news, entertainment, shitpost, shitposting, gaming, stream, pokemon;en
https://www.youtube.com/user/aluthier;1873;;none
https://www.youtube.com/channel/UCcvuX66ldPR-l2YYb-IPkeA;-1;futbol, soccer, futball, sport, fc barcelona, real madrid, bayern munich, borussia dormund, atletico de medid, skills, amazing, frestyle, jugadas, goles, amazing skills, amazing goals, goals;none
https://www.youtube.com/channel/UCAkhM3t2CmXNTbIR1T1-m0Q;13421;;none
https://www.youtube.com/channel/UChKyKevRNzxcOCrf2Tzvp6w;2322;;ja
https://www.youtube.com/channel/UCATMQjeHfS0A6mzEgaqGB-A;27214;videojuegos, lol, gaming, juegos, gameplays, overwatch, league of legends, hearthstone, español, guias, clash royale, hots, blizzard, heroes of the storm, trucos, consejos, jugando;es
https://www.youtube.com/user/zonamounderground;228799;Zonamo, Zonamo Underground, Underground, spitsessies, Lijpe, Boef, Kosso, Rapbatles, Rap, SBMG, Snoop Dogg, entertainment, music, music videos, dutch, nederlands, 2015;nl
https://www.youtube.com/user/worldofwarplanescom;40874;World War II, WWII, Warplanes, Aircraft, Airplanes, MMO, Wargaming;en
https://www.youtube.com/user/soaussam;1240;comedy, funny, satire, how-to, diy, comedian;en
https://www.youtube.com/user/josel19912;11540;gamers, español, tutorial, juego, pc, valve, steam, walktrough;es
https://www.youtube.com/user/sabinaodone1;-1;cantante, chilena;none
https://www.youtube.com/channel/UCj9zj1UNzlVMEVVs0Y_KpfA;-1;АРТИС, ARTIS, КС ГО, CSGO, TOP GAMER, counter-strike, global-offensive, читы, приколы, нож, драгон лор, Нарезочка;ru
https://www.youtube.com/user/lilvoiceimpressions;3641;voice impressions, voices, fandub, fan dubs, my, little, pony;en
https://www.youtube.com/user/mysticrb;73907;Ryan Biniecki, Mystic, PlayStation, Gaming, PS4, PS3, PS2, PS Vita, Let's Play, Walkthroughs, PlayStation News;en
https://www.youtube.com/user/prinsting;833;;fr
https://www.youtube.com/user/naijagirl88;44948;nigeria, nigerian, africa, african, beauty, clothes, makeup, shoes, outfits;en
https://www.youtube.com/user/mikeyangrybird;482;angry, birds, talking, friends, annoying, orange, super, mario, bros;en
https://www.youtube.com/channel/UCrZ9z4o2nwkBLWvbW5gTdWw;46;;en
https://www.youtube.com/channel/UC8wNWhJgvZJ09s9Q_wEh4DA;2820;;none
https://www.youtube.com/user/lionheart785;-1;Randy, Selectah, Urban, Larocque, DJ;en
https://www.youtube.com/user/billiardschool;5482;русский, бильярд, пул, снукер, сергей, бауров, школа, бильярда, сергея, баурова, диана, миронова, мастер, класс, классы, чемпионка, мира, бильярдное, видео, бильярдный, клуб, гладиатор, евгений, сталев;ru
https://www.youtube.com/user/officialsbu;595;Badmintonscotland, scottish, union, SBU, Sport, badminton, scotland;en
https://www.youtube.com/user/keriniotis;226;;en
https://www.youtube.com/user/zanoubia82;16537;محاضرات, صوتية, اسلامية, ودروس, تعليمية, ..عسى, ان, تكون, صدقة, جارية, او, علما, ينتفع, به, في, ميزان, صاحبة, القناة, باذن, الله...;ar
https://www.youtube.com/user/thezfi;183;;de
https://www.youtube.com/user/kch1852;513;國光幫幫忙, 大學生了沒, 康熙來了, 綜藝大熱門, SS小燕之夜;none
https://www.youtube.com/channel/UCJq7E7dTHZ7gh_ZSp4Aqhjg;1097;;en
https://www.youtube.com/user/markodole;8054;Abba, fan, Czech, Mamma, mia, vinyl, phono, piano, player;en
https://www.youtube.com/user/thezina1980;5044;FOX, официальный канал, Украина, фильмы, трейлеры, кино, трейлери українською, UFD, Ukrainian Film Distribution, ЮФД;uk
https://www.youtube.com/channel/UCUHghaafZgnKbvkuqSJ63Xg;239;;ar
https://www.youtube.com/user/dyuflive;8178;;none
https://www.youtube.com/channel/UCssWOVBE8_I3iDNGE2cOh3g;462;;none
https://www.youtube.com/user/w2mcrew;1789482;;none
https://www.youtube.com/channel/UC2q7jf8hUxTKRpLOqQH-4IQ;-1;;none
https://www.youtube.com/user/chayanne;67459;Chayanne, chayane, oficial, official, Ricky, Martin, gabriel, mi, tiempo, papito, puerto, rico, music, imposibles;es
https://www.youtube.com/user/458mrp;6776;supercars, in, london, ferrari, 599, gto, 430, roadster, brianzuk, shmee150, mc, stradale, richnwilliams, nm2255, marchettino, justinssupercars, bugatti, veyron, enzo, pagani, huayara, cinque, koenigsegg, agera, ccxr, special, one, arab, supercarsoflondon, exoticsoflondon, f14bigal, maserati, lotus, grand, prix, racing, rihanna, vevo, hamann, guardian, FB, Design, 458MRP, monaco, 2011, dubai, badburygtr, straight, pipes, decatted, quicksilver, akaprovic, exhaust, tubi, kressieg!!;en
https://www.youtube.com/user/badruzzamank;7225;;none
https://www.youtube.com/user/belkov44;4429;Белков, Евгений, belkov, evgeniy, evgenii, guitar, гитара;ru
https://www.youtube.com/user/natwestvideochannel;7904;banking, savings, mortgages, NatWest, advert, adverts;en
https://www.youtube.com/user/stivertime;1918;Empire, SS, аниме, онгоинги, топы, обзоры;ru
https://www.youtube.com/user/nmurdaturk;223;eXiLe, Murda™, 2011, eXiLeGamingPs3;en
https://www.youtube.com/user/lotus77s;533;RC, models, GoPro, Hero2, Trucks, Spektrum;en
https://www.youtube.com/user/justplaypokemon;32303;Pokemon Wonderlocke, Pokemon Sun and Moon, Pokemon Sun Wonderlocke, Pokemon Moon Let's Play, Pokemon X and Y, Pokemon Shiny Random Wonder trades, Pokemon Wonder Trades, pokemon egglocke, pokemon nuzlocke, pokemon randomizer, Pokemon Y Wonderlocke, pokemon news, pokemon ultimate nuzlocke, JustPlayPokemon wonderlocke, JustPlayPokemon, Pokemon ORAS Wonder Trades, Random Wonder Trades, Bulbasaur, Pokemon FFA, pokemon wifi battles;en
https://www.youtube.com/channel/UCOy8etpQ5cDbuUEZNO1nzjw;40;;none
https://www.youtube.com/user/lndxleo;59454;Minecraft, Ultra, hardcore, ultrahardcore, ультра, хардкор, майнкрафт, ультрахардкор;en
https://www.youtube.com/user/tracyhoss;5048;groovysphynx, groovy, sphynx, tracy, hosfelt, hoss, kittens, for, sale, Younique, black, presenter, 3D, Magic, moonstruck, Mascara, the, doctors;en
https://www.youtube.com/channel/UCGV8cwwSdwEC3FnF9hqvs1g;157960;топ 5 интересных, топ 5 шокирующих, самые смешные, топ 5 изобретений, 10 крутых вещей на, 5 фактов о стране, 5 случаев жести, 10 лайфхаков для владельцев, лайфхаки для, 10 секретов про, 10 крутых вещей с aliexpress, топ 10 мифов о, 10 самых ожидаемых, 10 самых упоротых, 10 самых необычных людей, топ 5 редких, топ 5 запрещенных развлечений, интересные факты, мегашоу ТВ, мегашоу, mega show tv, megashow tv;ru
https://www.youtube.com/channel/UCqa32PwB10D-dafy5NTJXLQ;2562;;es
https://www.youtube.com/channel/UCeBAZ0JAZUCAQ3H1fiNwIvQ;18283;Fanaticos, Young;none
https://www.youtube.com/user/capturedhd;42900;Fitness, health, bodybuilding, powerlifting, vlogs, gaming, cars, car, culture;en
https://www.youtube.com/channel/UCYxjY3gpEirdVbFSBUBaOQw;331;#NIMO, #ACAPPELLA, #VOCAFARABI, #LUCU, #INDONESIA, #SUARA, #PENTATONIX;id
https://www.youtube.com/channel/UCjKfgnxmSmwVij7tU9QFmYQ;210;;en
https://www.youtube.com/channel/UCBjKHb5xcIqemPZuRoe--qQ;22682;Gossip King, Srilanka Gossips, Sri Lanka Gossips, Sri Lanka News, Sri Lanka Dramas, Sri Lanka updates, Gossipking.lk;none
https://www.youtube.com/user/optimalryse;401;Sheid, Ryse, RyseEdits, aD, Optimal, Sniper, Sniping, Editing, SonyVegas, SheidClan, Editor;de
https://www.youtube.com/user/thevicinger;1014;игровые монтажи, монтажи по cs go, монтажи по gta online, смешные монтажи, caleckar, Toblbobl, SunBro;ru
https://www.youtube.com/user/riotgplay;3140;Rajot, GPLAY, rajotgplay, rajot, gplay;pl
https://www.youtube.com/user/fikztkillcam;172;;en
https://www.youtube.com/channel/UCTK_GDkTm-E2-xnsjCJ_DfA;1591;Banks, BANKS, Goddess, Brain, Beggin For Thread, Waiting Game, Someone New, This Is What It Feels Like, Live, Drowning, You Should Know Where I'm Coming From, Warm Water, Before I Ever Met You, Change, Alibi, Fuck Em Only We Know, Bedroom Wall, Stick, Under The Table, And I Drove You Crazy, Fall Over, Jillian Banks;pt
https://www.youtube.com/channel/UCF7a5CDcfpc04uMNGu6c2Fg;940;;ro
https://www.youtube.com/user/aquamiloco;1320;;en
https://www.youtube.com/user/alehandromiskauskas;26249;Fingerstyle, Acoustic, Guitar, TommyEmmanuel, SunghaJung, MikeDawes, Candyrat, Instrumental, Music, Cover, Nirvana, Gotye, DavidGuetta, Dubstep, PenTapping, ClassicalGuitar, Drums, IgorPresnyakov, DonRoss, AndyMcKee, LucaStricagnoli, AcousticGuitar, Percussion;en
https://www.youtube.com/channel/UC5Dz4peb3m-zZCxKySbEnbw;124;disney, frozen, mickey, kids, music, nursery, rhymes, marvel, super, hero, spiderman;en
https://www.youtube.com/channel/UCosm-pYmlSRItMAIUgNdq9g;260;Gravações, ao, vivo, de, performances, únicas;pt
https://www.youtube.com/user/dvjtamofftv;4597;;es
https://www.youtube.com/user/mrbean;3340817;mr, bean, rowan, atkinson, funny, english, tv, series, holiday, swimming, pool, christmas, car, dancing;en
https://www.youtube.com/user/uzbektvnews;36327;uzbek, tv, uzbek prikol, uzbekistan, tashkent, prikol, прикол, узбек, uzbek videos, uzbek kino, uzbek tv;bg
https://www.youtube.com/user/darmelton;183865;Dartron, Darmelton, Minecraft, Mini-Games, Mods, Maps, Machinima, Animation, Minigames, Gameplay, Commentary, Gaming, Minigame, Digimobs, Roleplay;en
https://www.youtube.com/user/apinkhkfc;6637;;ko
https://www.youtube.com/user/bmota10;2609;Bmota10, Bruno Mota;pt
https://www.youtube.com/channel/UCSvBFXyBBwBuA0PuDlqjv_Q;-1;;none
https://www.youtube.com/user/rodrigoteaser;15567;michael jackson, Michael Jackson impersonator, Michael, Jackson, doble, cover, rodrigo teaser, show, tributo, Rei do Pop, King of Pop, Michael Jackson tribute, Dance, R&B;pt
https://www.youtube.com/user/jaramishow;3403882;Juan, Pablo, Jaramillo, jaramishow;es
https://www.youtube.com/channel/UC9INYHwUmL5CweIJGOe2H6w;38181;;none
https://www.youtube.com/user/johnhyx23;36;;none
https://www.youtube.com/user/missnicaraguaoficial;772;MISS NICARAGUA, nicaragua;es
https://www.youtube.com/user/lifeofaneniang;45713;shirleybeniang, vlogs, fun, random;en
https://www.youtube.com/user/wlk259;4613;покраска, ремонт, авто;ru
https://www.youtube.com/user/theenaldinho;2101639;pegadinha, troll, Enaldinho, desafios, desafio, Enaldo, Responde, vlog, vlogs, comedia, brincadeira, brincadeiras, zuera;pt
https://www.youtube.com/user/kfccolonelsanders;199100;KFC, kentucky friend chicken, fried chicken, colonel sanders, kentucky colonel, colonel, kentucky, chicken;en
https://www.youtube.com/channel/UCwiLLSn9L_VoN8O0nbKV6Jg;183;recipes indian recipe snackrecipes in hind, non veg recipes, veg recipes, mocktail recipes, snack recipes, quick recipes;en
https://www.youtube.com/user/ahmuqq;2295;قناة, المنشد, أحمد, المقيط;ar
https://www.youtube.com/user/hotcake3021;70;;none
https://www.youtube.com/channel/UC7T_l7F6vlO50YSBXDlQMaA;1186;;none
https://www.youtube.com/user/getmoney201046;46;rap, artist, hip, hop;none
https://www.youtube.com/channel/UCtE--WCSIKYpCXsQij6J2kw;348;blog, vlog, gameplay, games, humor, прикол, юмор, игры, летс плей, ZIDI, zidi, зиди, ЗИДИ, let's play, lets play, хорроры, вебка, угар, смешные игры, весёлые игры, новые игры, montage, монтаж, игровой монтаж, прикольный монтаж, нарезки, смешной монтаж;ru
https://www.youtube.com/channel/UCWGi7D2eNcjOkzjWsrs-9BA;1608;Развивайка, развивалки, развивающие игры для детей, развивающее видео, веселый клоун, для детей, игрушки, игры для детей, видео с игрушками, мультики для малышей, игры в конструктор, Няняш ТВ, клоун Ваня;ru
https://www.youtube.com/user/howtolookgoodtv;1277;How, To, Look, Good, Caryn, Franklin, Charles, Worthington, Ariane, Poole, Hair, Fashion, Make-Up;en
